,ID,station,Year,Month,Day,Time,AMB_TEMP,CO,NO,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
0,lt2017010100,龍潭,2017,1,1,0,18,0.2,0,5,34,25,16,0,77,2,東北,東,緩風,緩風
1,lt2017010101,龍潭,2017,1,1,1,18,0.22,0,6,33,20,13,0,79,1,東北,東,微風,微風
2,lt2017010102,龍潭,2017,1,1,2,18,0.23,0,6,31,23,16,0,80,1,東,東北,微風,微風
3,lt2017010103,龍潭,2017,1,1,3,17,0.28,0,11,26,25,9,0,82,1,西北,西南,微風,微風
4,lt2017010104,龍潭,2017,1,1,4,17,0.31,1,11,25,29,17,0,84,1,東北,東北,微風,無風
5,lt2017010105,龍潭,2017,1,1,5,17,0.34,1,11,23,22,12,0,85,1,西南,西南,微風,無風
6,lt2017010106,龍潭,2017,1,1,6,16,0.53,4,23,12,24,9,0,87,1,西南,南,微風,微風
7,lt2017010107,龍潭,2017,1,1,7,17,0.74,7,28,14,22,7,0,85,1,東,東北,微風,微風
8,lt2017010108,龍潭,2017,1,1,8,19,0.37,4,15,28,32,10,0,78,1,東,東,微風,微風
9,lt2017010109,龍潭,2017,1,1,9,21,0.37,3,13,31,23,9,0,70,1,東北,東北,微風,微風
10,lt2017010110,龍潭,2017,1,1,10,23,0.37,3,12,36,20,9,0,60,1,東北,東北,微風,微風
11,lt2017010111,龍潭,2017,1,1,11,25,0.37,3,11,40,19,9,0,52,1,東北,西南,微風,微風
12,lt2017010112,龍潭,2017,1,1,12,26,0.33,2,8,49,22,12,0,49,2,北,北,微風,微風
13,lt2017010113,龍潭,2017,1,1,13,26,0.33,1,8,56,18,12,0,47,2,東北,東北,微風,微風
14,lt2017010114,龍潭,2017,1,1,14,26,0.34,1,9,54,22,10,0,50,2,西北,西北,微風,微風
15,lt2017010115,龍潭,2017,1,1,15,24,0.34,2,12,46,32,14,0,60,3,西北,西北,微風,微風
16,lt2017010116,龍潭,2017,1,1,16,23,0.37,2,14,38,54,16,0,67,4,西北,西北,微風,微風
17,lt2017010117,龍潭,2017,1,1,17,21,0.45,1,19,29,58,26,0,76,3,西北,西北,微風,微風
18,lt2017010118,龍潭,2017,1,1,18,20,0.68,2,29,15,64,31,0,80,3,西北,西北,微風,微風
19,lt2017010119,龍潭,2017,1,1,19,20,1.19,17,45,3,67,38,0,79,3,西南,西南,微風,微風
20,lt2017010120,龍潭,2017,1,1,20,20,1.59,17,45,3,73,38,0,80,3,西南,西南,微風,微風
21,lt2017010121,龍潭,2017,1,1,21,19,1.44,17,45,2,77,40,0,81,3,西南,西南,微風,微風
22,lt2017010122,龍潭,2017,1,1,22,18,1.06,17,45,4,69,35,0,84,2,西南,西南,微風,微風
23,lt2017010123,龍潭,2017,1,1,23,18,0.38,1,16,13,58,32,0,89,2,西南,西南,微風,微風
24,lt2017010200,龍潭,2017,1,2,0,18,0.33,1,13,18,44,28,0,87,1,西南,西南,微風,微風
25,lt2017010201,龍潭,2017,1,2,1,17,0.3,1,11,19,38,28,0,88,1,西南,西南,微風,微風
